gameid,date,type,teamid,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,season
21800036,10/21/18,regular,1610612739,CLE,CLE,ATL,48,111,46,99,46.5,10,27,37,9,14,64.3,15,34,49,23,18,5,2,25,-22,0,2019
21800037,10/21/18,regular,1610612760,OKC,OKC,SAC,48,120,46,104,44.2,9,39,23.1,19,30,63.3,18,33,51,23,18,11,9,29,-11,0,2019
21800037,10/21/18,regular,1610612758,SAC,OKC,SAC,48,131,50,91,54.9,10,22,45.5,21,28,75,12,34,46,28,20,11,7,26,11,1,2019
21800038,10/21/18,regular,1610612743,DEN,DEN,GSW,48,100,35,86,40.7,6,32,18.8,24,42,57.1,13,34,47,21,10,11,4,22,2,1,2019
21800038,10/21/18,regular,1610612744,GSW,DEN,GSW,48,98,36,79,45.6,7,29,24.1,19,24,79.2,6,34,40,22,19,4,6,29,-2,0,2019
21800039,10/21/18,regular,1610612745,HOU,LAC,HOU,48,112,43,89,48.3,15,35,42.9,11,15,73.3,6,29,35,28,12,6,6,23,-3,0,2019
21800039,10/21/18,regular,1610612746,LAC,LAC,HOU,48,115,42,89,47.2,5,25,20,26,26,100,12,37,49,22,13,8,7,16,3,1,2019
21800040,10/22/18,regular,1610612738,BOS,BOS,ORL,48,90,37,91,40.7,9,40,22.5,7,9,77.8,9,42,51,21,12,6,3,15,-3,0,2019
21800040,10/22/18,regular,1610612753,ORL,BOS,ORL,48,93,38,93,40.9,10,35,28.6,7,10,70,8,41,49,28,9,6,2,15,3,1,2019
21800041,10/22/18,regular,1610612766,CHA,TOR,CHA,48,106,41,97,42.3,9,28,32.1,15,18,83.3,14,27,41,21,12,5,5,14,-21,0,2019
21800041,10/22/18,regular,1610612761,TOR,TOR,CHA,48,127,50,87,57.5,15,39,38.5,12,14,85.7,5,41,46,36,15,10,8,21,21,1,2019
21800042,10/22/18,regular,1610612749,MIL,MIL,NYK,48,124,45,96,46.9,17,40,42.5,17,24,70.8,19,36,55,27,15,5,9,18,11,1,2019
21800042,10/22/18,regular,1610612752,NYK,MIL,NYK,48,113,45,99,45.5,10,29,34.5,13,15,86.7,11,32,43,22,12,6,2,21,-11,0,2019
21800043,10/22/18,regular,1610612754,IND,MIN,IND,48,91,36,92,39.1,8,26,30.8,11,16,68.8,12,33,45,18,15,6,6,24,-10,0,2019
21800043,10/22/18,regular,1610612750,MIN,MIN,IND,48,101,36,85,42.4,7,33,21.2,22,24,91.7,8,39,47,24,15,9,12,17,10,1,2019
21800044,10/22/18,regular,1610612741,CHI,DAL,CHI,48,109,41,80,51.3,13,23,56.5,14,21,66.7,7,27,34,18,19,6,4,29,-6,0,2019
21800044,10/22/18,regular,1610612742,DAL,DAL,CHI,48,115,40,93,43,15,47,31.9,20,21,95.2,13,28,41,25,16,8,2,16,6,1,2019
